"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"ENSMUSG00000046605",458.052628641959,0.254527517695419,0.071456733784779,3.5619808549049,0.000368067230286577,0.186281809576931,"B3gntl1"
"ENSMUSG00000022790",1945.40200239117,-0.192222065238109,0.0542340091234129,-3.54430860533831,0.000393644192764827,0.19081130430729,"Igsf11"
"ENSMUSG00000029661",1260.00756492248,0.385440141443824,0.108825846694264,3.54180696178439,0.000397396180069652,0.19081130430729,"Col1a2"
"ENSMUSG00000037754",7778.23442084714,-0.193934708255677,0.0555245729749187,-3.49277262057072,0.000478033363972175,0.221326935662104,"Ppp1r16b"
"ENSMUSG00000055805",6876.50036395066,-0.25040575401274,0.0719632210249176,-3.4796351587158,0.000502097032828589,0.221326935662104,"Fmnl1"
"ENSMUSG00000032012",2922.09034497654,-0.280399614314898,0.0805933275047827,-3.47919142931849,0.000502929189302948,0.221326935662104,"Nectin1"
"ENSMUSG00000070520",1733.75460663594,0.156153275497075,0.0450192197738975,3.46859133235388,0.000523194654763712,0.221326935662104,"Nsmce3"
"ENSMUSG00000023968",108.098005080196,-0.623785617817707,0.179971474480661,-3.4660249332165,0.000528214293217403,0.221326935662104,"Crip3"
"ENSMUSG00000051335",9994.48733596455,-0.235702098342921,0.0681598089717068,-3.45808038342304,0.000544039034913308,0.221326935662104,"Gfod1"
"ENSMUSG00000027536",15.9239218305394,-1.4175346254048,0.409970154866372,-3.45765321835888,0.000544902292486355,0.221326935662104,"Chmp4c"
"ENSMUSG00000034613",10308.5252447442,-0.138876725271108,0.040225463788041,-3.45245802516754,0.000555503897047894,0.221326935662104,"Ppm1h"
"ENSMUSG00000037578",8.26973249843068,-1.89940379435144,0.55251225138463,-3.43775869148859,0.000586550150478285,0.225612283144869,"Pkd2l1"
"ENSMUSG00000041445",298.562055387373,-0.362260666943809,0.10558075800434,-3.43112394522606,0.000601085892259532,0.225612283144869,"Mmrn2"
"ENSMUSG00000031987",5667.64667525632,-0.119634626480596,0.0349233083202248,-3.42563841270768,0.00061335632873303,0.225612283144869,"Egln1"
"ENSMUSG00000104164",87.5454424605562,0.644310747256105,0.188111489525704,3.42515360906791,0.000614451908597047,0.225612283144869,"Gm38248"
"ENSMUSG00000042515",179.498133392788,0.440621124648139,0.129278280558307,3.40831516899245,0.000653653504325371,0.228091251717636,"Pwwp3b"
"ENSMUSG00000031494",37.4830154138848,1.07015783055042,0.314385031839675,3.40397195212577,0.000664135725165146,0.228091251717636,"Cd209a"
"ENSMUSG00000040270",1033.76164318559,-0.273055574435699,0.0802393070376449,-3.40301511212694,0.000666465941536735,0.228091251717636,"Bach2"
"ENSMUSG00000040152",163.637693470063,0.718390149032082,0.211191811553296,3.40160039230873,0.000669925175930257,0.228091251717636,"Thbs1"
"ENSMUSG00000103695",145.974838949934,0.560912195437871,0.165271587722003,3.39388156893223,0.000689094861556301,0.229995952436679,"A830029E22Rik"
"ENSMUSG00000040387",1611.41934734029,-0.236456921325535,0.0697606402135588,-3.38954632012647,0.000700083802674929,0.229995952436679,"Klhl32"
"ENSMUSG00000101930",9.86326965583542,1.65326402338647,0.489177190737673,3.37968338403794,0.000725693763187672,0.231544709564065,"Gm5441"
"ENSMUSG00000030669",16.9726048492033,-1.39217275966444,0.412100660160112,-3.37823472334051,0.000729527815031498,0.231544709564065,"Calca"
"ENSMUSG00000081221",60.9409523823134,0.683632124819235,0.203417759457759,3.36072979390571,0.000777368349742938,0.238291078959032,"Gm14760"
"ENSMUSG00000021919",26.2578393837228,-1.24984268910181,0.372243163895853,-3.35759742642714,0.000786230302592824,0.238291078959032,"Chat"
