"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"ENSMUSG00000089417",5.69764267990569,2.58854404629006,0.969943411245133,2.66875780203208,0.00761323271205371,0.999972122235056,"Gm22009"
"ENSMUSG00000047246",477.636725109373,-0.358614251665816,0.134760123479131,-2.66113032852297,0.00778788061201532,0.999972122235056,"H2bc6"
"ENSMUSG00000028082",1297.16204057932,0.280145423129362,0.105310935188518,2.66017410848997,0.0078100267209378,0.999972122235056,"Sh3d19"
"ENSMUSG00000044949",808.801750320261,-0.198501208188392,0.0746278603153158,-2.65988073823488,0.00781683249380535,0.999972122235056,"Ubtd2"
"ENSMUSG00000039384",375.067834184248,0.439717489576783,0.165327546724575,2.65967467786432,0.00782161597764033,0.999972122235056,"Dusp10"
"ENSMUSG00000106296",10.3456098991691,-1.74680846441417,0.658314441006783,-2.65345609271872,0.00796721352281372,0.999972122235056,"4632404M16Rik"
"ENSMUSG00000100009",54.081607117981,-0.980872521454071,0.369891410071506,-2.65178507731351,0.00800674898766207,0.999972122235056,"Gm7967"
"ENSMUSG00000055639",2900.07805155041,-0.396915680909235,0.149825967444523,-2.64917816103009,0.00806877831208901,0.999972122235056,"Dach1"
"ENSMUSG00000040258",273.516974336292,0.703761840699761,0.266741611831465,2.63836540488635,0.00833067629383603,0.999972122235056,"Nxph4"
"ENSMUSG00000084342",17.8110767778621,-0.992177658945847,0.377699203597185,-2.62689899659942,0.00861669065010731,0.999972122235056,"Gm11224"
"ENSMUSG00000105852",92.3437164346419,0.653173181020672,0.249839159334462,2.6143747151593,0.00893909380162685,0.999972122235056,"Gm42890"
"ENSMUSG00000029607",19.8082650966667,-1.03404786288605,0.395718171244974,-2.61309168500606,0.00897272278492193,0.999972122235056,"Ankrd61"
"ENSMUSG00000071679",222.271219587811,0.360058976431866,0.137793961747648,2.61302434348515,0.00897449096277472,0.999972122235056,"Rtl4"
"ENSMUSG00000104874",6.94110133231412,1.65667951322551,0.634816307807378,2.60969904655977,0.00906219085121433,0.999972122235056,"Gm43387"
"ENSMUSG00000044726",28.724820418496,1.16686108346385,0.447304147204353,2.6086525035744,0.00908994977638367,0.999972122235056,"Erich5"
"ENSMUSG00000035032",158.382846464795,-0.495816448606065,0.190771705837879,-2.59900411556533,0.00934946523410976,0.999972122235056,"Nek11"
"ENSMUSG00000046480",44997.7088871461,-0.317299898971403,0.122212682490454,-2.59629272924425,0.00942357424174562,0.999972122235056,"Scn4b"
"ENSMUSG00000024818",219.600633981438,-0.331091065242084,0.127833414086038,-2.59001973474043,0.00959704300136211,0.999972122235056,"Slc25a45"
"ENSMUSG00000087785",11.79008092676,1.3518604307537,0.522319796458815,2.5881853223235,0.00964830568104545,0.999972122235056,"ENSMUSG00000087785"
"ENSMUSG00000029007",611.495907499791,-0.197384622217549,0.0765552081629658,-2.57833042263264,0.00992790149192848,0.999972122235056,"Agtrap"
"ENSMUSG00000039579",4190.7324840757,0.321071501345257,0.124540812373292,2.57804245232394,0.00993617901182136,0.999972122235056,"Grin3a"
"ENSMUSG00000066687",697.564276755918,0.471921887848085,0.183074517516042,2.57775846825178,0.00994434797036417,0.999972122235056,"Zbtb16"
"ENSMUSG00000001155",9.62668814127347,-1.73057067032859,0.672285198832524,-2.57416149178037,0.0100483359881213,0.999972122235056,"Ftcd"
"ENSMUSG00000087163",10.313962058115,-1.80630892927284,0.701926493161535,-2.57335910080423,0.0100716646740099,0.999972122235056,"Gm16230"
"ENSMUSG00000020681",557.539548339403,-0.323817322096727,0.125968702152015,-2.57061727686894,0.0101517447778873,0.999972122235056,"Ace"
"ENSMUSG00000021185",720.636952423159,-0.253443406636875,0.098686134609124,-2.56817644789426,0.0102235102107749,0.999972122235056,"Dglucy"
"ENSMUSG00000000216",9.13436914290893,1.7903211818066,0.697200997436943,2.56786950734178,0.0102325667924584,0.999972122235056,"Scnn1g"
"ENSMUSG00000074862",564.203488898159,-0.262556887324348,0.10232899275618,-2.56581131361222,0.0102934805366716,0.999972122235056,"BC025920"
"ENSMUSG00000085342",274.313317730668,-0.269522809960913,0.105053186817847,-2.56558433042343,0.0103002179896619,0.999972122235056,"Gm12254"
"ENSMUSG00000090015",1642.51755935132,0.573148458986552,0.22346462064149,2.56482863972489,0.010322677155038,0.999972122235056,"Gm15446"
"ENSMUSG00000097280",43.9365859578674,0.773760639227957,0.302203406958387,2.56039681026661,0.0104552707750631,0.999972122235056,"AI849053"
"ENSMUSG00000036835",804.477076506437,-0.184998060778109,0.072609268552409,-2.54785738055712,0.0108386771893184,0.999972122235056,"Psenen"
"ENSMUSG00000096954",552.46606182401,0.219427293008663,0.0861659396214934,2.546566473627,0.010878848979986,0.999972122235056,"ENSMUSG00000096954"
"ENSMUSG00000038286",1381.16499030456,-0.153121048316137,0.0601302591832719,-2.54648907880867,0.0108812616321439,0.999972122235056,"Bphl"
"ENSMUSG00000067929",109.787047803859,0.436982457483976,0.171616828516014,2.54626810938415,0.0108881525964158,0.999972122235056,"Gm10226"
